,Corrected_Label,TreeID,Day_of_year,Site,Location,Treatment,Status,Resinosis,Entryholes,Precipitation,Mean_temperature,Maximum_VPD,Elevation,Diameter,Phloem..mg.,Solvent..ul.,Value,upper_quantile,Value_Winz
1,.alpha.-Phellandrene,10,160,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,115.6,200,249325,13895237,249325
2,.alpha.-Phellandrene,10,170,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,118.6,200,64825,13895237,64825
3,.alpha.-Phellandrene,10,190,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,110.1,200,262974,13895237,262974
4,.alpha.-Phellandrene,10,200,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,115.5,500,2163367.5,13895237,2163367.5
5,.alpha.-Phellandrene,10,210,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,108.2,200,198820,13895237,198820
6,.alpha.-Phellandrene,10,225,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,106,500,1685442.5,13895237,1685442.5
7,.alpha.-Phellandrene,10,240,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,115.1,200,393516,13895237,393516
8,.alpha.-Phellandrene,10,260,Cameron pass,II,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,60.96,113.4,500,1641245,13895237,1641245
9,.alpha.-Phellandrene,103,160,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,112.1,200,156109,13895237,156109
10,.alpha.-Phellandrene,103,170,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,113.8,200,61176,13895237,61176
11,.alpha.-Phellandrene,103,180,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,114.6,200,54546,13895237,54546
12,.alpha.-Phellandrene,103,190,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,115.9,200,444320,13895237,444320
13,.alpha.-Phellandrene,103,200,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,110.5,500,2368105,13895237,2368105
14,.alpha.-Phellandrene,103,210,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,116.7,500,3553812.5,13895237,3553812.5
15,.alpha.-Phellandrene,103,225,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,111.1,200,716071,13895237,716071
16,.alpha.-Phellandrene,103,240,Cameron pass,I,Control,Control,NA,NA,1054.5572,1.153240741,0.814525,3100,40.64,109,500,4562950,13895237,4562950
