Monoterpene,Concentration,Area
.alpha.-Pinene,1,172186
.alpha.-Pinene,5,876774
.alpha.-Pinene,25,4968623
.alpha.-Pinene,50,13857227
.alpha.-Pinene,250,68526652
.beta.-Myrcene,1,95034
.beta.-Myrcene,5,554097
.beta.-Myrcene,25,2724707
.beta.-Myrcene,50,8093453
.beta.-Myrcene,250,40225163
.beta.-Pinene,1,150057
.beta.-Pinene,5,842318
.beta.-Pinene,25,4379297
.beta.-Pinene,50,11428859
.beta.-Pinene,250,49862942
.gamma.-Terpinene,1,180261
.gamma.-Terpinene,5,952379
.gamma.-Terpinene,25,4828371
.gamma.-Terpinene,50,12571850
.gamma.-Terpinene,250,62424856
3-Carene,1,173381
3-Carene,5,901015
3-Carene,25,4606056
3-Carene,50,12081379
3-Carene,250,58401204
Camphene,1,172802
Camphene,5,860141
Camphene,25,4776225
Camphene,50,13357542
Camphene,250,65122237
Limonene,1,284609
Limonene,5,1051734
Limonene,25,4734561
Limonene,50,12172221
Limonene,250,56120670
Linalool,1,94342
Linalool,5,559668
Linalool,25,3037381
Linalool,50,5451861
Linalool,250,31006771
p-Cymene,1,270712
p-Cymene,5,1293605
p-Cymene,25,6364813
p-Cymene,50,15898763
p-Cymene,250,78557544
Terpinolene,1,162148
Terpinolene,5,879456
Terpinolene,25,4520311
Terpinolene,50,12023998
Terpinolene,250,60453612
